id_infraccion,fecha_infraccion,ao_infraccion,mes,categoria,articulo,fraccion,inciso,parrafo,placa,color,marca_general,marca,submarca,en_la_calle,entre_calle,y_calle,colonia,alcaldia,codigo_postal,longitud,latitud
id-4225919109,45046,2023,NA,Violar normas básicas de educación vial,8,I,-----,SEGUNDO,A5156K,BLANCO/ROJO,NISSAN,NISSAN,TSURU,Avenida Ernesto P. Uruchurtu,te ,canal de churubusco,EL RODEO,Iztacalco,,NA,NA
id-4225914333,45046,2023,NA,Violar normas básicas de educación vial,8,I,-----,SEGUNDO,K94BDN,BLANCO,MITSUBISHI,MITSUBISHI,LANCER,calzada Vallejo ,Antonio valeriano ,seris ,LA RAZA,Azcapotzalco,,NA,NA
id-4225919178,45046,2023,NA,No respetar preferencias de paso,10,VI,A,PRIMERO,A1693B,BLANCO,HONDA,HONDA,DESCONOCIDO,José María Izazaga,20 de noviembre ,pino Suárez ,CENTRO,Cuauhtémoc,,NA,NA
id-4225919062,45046,2023,NA,No respetar preferencias de paso,10,VI,A,PRIMERO,N62ASK,BLANCO,NISSAN,NISSAN,VERSA,José María Izazaga,20 de noviembre ,pino Suárez ,CENTRO,Cuauhtémoc,,NA,NA
id-4225921270,45046,2023,NA,No respetar preferencias de paso,10,IV,-----,PRIMERO,6L5WE,NEGRO,OTRA,BAJAJ,TRABAJO,Isabela Católica ,viaducto,bolivar,ALAMOS,Benito Juárez,,NA,NA
id-4225917624,45046,2023,NA,No respetar preferencias de paso,10,VI,A,PRIMERO,K74ARW,BLANCO,FORD,FORD MOTOR COMPANY,FIESTA IKON 5 PUERTAS IMPORTADO,Eje 3 Oriente,Victoria ,oriente 115,GERTRUDIS SÁNCHEZ 2A SECCIÓN,Gustavo A. Madero,,NA,NA
id-4225920877,45046,2023,NA,No respetar preferencias de paso,10,VI,A,PRIMERO,676XZA,NEGRO,NISSAN,NISSAN,MARCH,Viaducto Río Becerra,minería ,11 de abril ,ESCANDÓN I SECCIÓN,Miguel Hidalgo,,NA,NA
id-4225920105,45046,2023,NA,Infringir normas generales de circulación,11,VIII,-----,SEGUNDO,PBE4910,GUINDA,NISSAN,NISSAN,TSURU,Luis garcia,zarragoza,república federal,AMP SANTA MARTHA ACATITLA,Iztapalapa,,NA,NA
id-4225921591,45046,2023,NA,Infringir normas generales de circulación,11,VIII,-----,SEGUNDO,LRU184A,GRIS,CHRYSLER,FIAT,UNO FIRE,av. paseo de la reforma,Arquímedes ,ghandi,CHAPULTEPEC  POLANCO,Miguel Hidalgo,,NA,NA
id-4225914050,45046,2023,NA,Infringir normas generales de circulación,11,III,A,TERCERO,760RR6,BLANCO,NA,DESCONOCIDO,DESCONOCIDO,Calzada de Tlalpan,circuito ,20 de agosto ,SAN DIEGO CHURUBUSCO,Coyoacán,,NA,NA
id-4225913947,45046,2023,NA,Infringir normas generales de circulación,11,III,A,TERCERO,PBY5602,BLANCO,VOLKSWAGEN,VOLKSWAGEN,SED N,Calzada de Tlalpan,circuito ,20 de agosto ,SAN DIEGO CHURUBUSCO,Coyoacán,,NA,NA
id-4225913855,45046,2023,NA,Infringir normas generales de circulación,11,X,A,QUINTO,A12BKL,ANARANJADO,OTRA,RENAULT,KWID 4 PUERTAS,PASEO DE LA REFORMA ,GRANADA ,CANAL DEL NORTE ,PERALVILLO,Cuauhtémoc,,NA,NA
id-4225913701,45046,2023,NA,Infringir normas generales de circulación,11,I,-----,PRIMERO,8G6RZ,NEGRO,NA,DESCONOCIDO,DESCONOCIDO,Avenida Cuauhtémoc,angel urraza ,San borja,NARVARTE PONIENTE,Benito Juárez,,NA,NA
